Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,1185732,2/10/2020,Northeast,New York,New York,Mens Apparel,60.00 ,875,525000 ,157500 ,30,Outlet
Foot Locker,1185732,3/3/2020,Northeast,New York,New York,Womens Apparel,65.00 ,"1,000",650000 ,162500 ,25,Outlet
Foot Locker,1185732,3/4/2020,Northeast,New York,New York,Mens Street Footwear,60.00 ,"1,250",750000 ,375000 ,50,Outlet
Foot Locker,1185732,3/5/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,"1,000",550000 ,165000 ,30,Outlet
Foot Locker,1185732,3/6/2020,Northeast,New York,New York,Womens Street Footwear,50.00 ,925,462500 ,161875 ,35,Outlet
Foot Locker,1185732,3/7/2020,Northeast,New York,New York,Womens Athletic Footwear,50.00 ,900,450000 ,157500 ,35,Outlet
Foot Locker,1185732,3/8/2020,Northeast,New York,New York,Mens Apparel,60.00 ,900,540000 ,162000 ,30,Outlet
Foot Locker,1185732,3/9/2020,Northeast,New York,New York,Womens Apparel,65.00 ,"1,050",682500 ,170625 ,25,Outlet
Foot Locker,1185732,3/10/2020,Northeast,New York,New York,Mens Street Footwear,60.00 ,"1,275",765000 ,382500 ,50,Outlet
Foot Locker,1185732,3/11/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,"1,025",563750 ,169125 ,30,Outlet
Foot Locker,1185732,3/12/2020,Northeast,New York,New York,Womens Street Footwear,50.00 ,950,475000 ,166250 ,35,Outlet
Foot Locker,1185732,3/13/2020,Northeast,New York,New York,Womens Athletic Footwear,50.00 ,900,450000 ,157500 ,35,Outlet
Foot Locker,1185732,3/14/2020,Northeast,New York,New York,Mens Apparel,60.00 ,925,555000 ,166500 ,30,Outlet
Foot Locker,1185732,3/15/2020,Northeast,New York,New York,Womens Apparel,65.00 ,"1,100",715000 ,178750 ,25,Outlet
Foot Locker,1185732,3/16/2020,Northeast,New York,New York,Mens Street Footwear,60.00 ,"1,250",750000 ,375000 ,50,Outlet
Foot Locker,1185732,3/17/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,"1,025",563750 ,169125 ,30,Outlet
Foot Locker,1185732,3/18/2020,Northeast,New York,New York,Womens Street Footwear,50.00 ,950,475000 ,166250 ,35,Outlet
Foot Locker,1185732,3/31/2020,Northeast,New York,New York,Womens Athletic Footwear,50.00 ,925,462500 ,161875 ,35,Outlet
Walmart,1185732,4/17/2020,Northeast,New York,New York,Mens Apparel,60.00 ,900,540000 ,162000 ,30,Outlet
Walmart,1185732,4/18/2020,Northeast,New York,New York,Womens Apparel,65.00 ,"1,075",698750 ,174688 ,25,Outlet
Walmart,1185732,4/19/2020,Northeast,New York,New York,Mens Street Footwear,60.00 ,"1,200",720000 ,360000 ,50,Outlet
Walmart,1185732,4/20/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,"1,000",550000 ,165000 ,30,Outlet
Walmart,1185732,4/21/2020,Northeast,New York,New York,Womens Street Footwear,50.00 ,925,462500 ,161875 ,35,Outlet
Walmart,1185732,4/22/2020,Northeast,New York,New York,Womens Athletic Footwear,50.00 ,900,450000 ,157500 ,35,Outlet
Walmart,1185732,4/23/2020,Northeast,New York,New York,Mens Apparel,60.00 ,900,540000 ,162000 ,30,Outlet
Walmart,1185732,4/24/2020,Northeast,New York,New York,Womens Apparel,65.00 ,"1,000",650000 ,162500 ,25,Outlet
Walmart,1185732,4/25/2020,Northeast,New York,New York,Mens Apparel,65.00 ,875,568750 ,170625 ,30,Outlet
Walmart,1185732,4/26/2020,Northeast,New York,New York,Womens Apparel,70.00 ,"1,000",700000 ,175000 ,25,Outlet
Walmart,1185732,4/27/2020,Northeast,New York,New York,Mens Street Footwear,65.00 ,"1,150",747500 ,373750 ,50,Outlet
Walmart,1185732,4/28/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,975,536250 ,160875 ,30,Outlet
Walmart,1185732,4/29/2020,Northeast,New York,New York,Womens Street Footwear,55.00 ,920,506000 ,177100 ,35,Outlet
Walmart,1185732,4/30/2020,Northeast,New York,New York,Womens Athletic Footwear,55.00 ,900,495000 ,173250 ,35,Outlet
Walmart,1185732,5/1/2020,Northeast,New York,New York,Mens Apparel,65.00 ,875,568750 ,170625 ,30,Outlet
Walmart,1185732,5/2/2020,Northeast,New York,New York,Womens Apparel,70.00 ,975,682500 ,170625 ,25,Outlet
Walmart,1185732,5/3/2020,Northeast,New York,New York,Mens Street Footwear,65.00 ,"1,200",780000 ,390000 ,50,Outlet
Walmart,1185732,5/4/2020,Northeast,New York,New York,Mens Athletic Footwear,55.00 ,"1,000",550000 ,165000 ,30,Outlet
Walmart,1185732,5/5/2020,Northeast,New York,New York,Womens Street Footwear,55.00 ,950,522500 ,182875 ,35,Outlet
Walmart,1185732,5/6/2020,Northeast,New York,New York,Womens Athletic Footwear,55.00 ,900,495000 ,173250 ,35,Outlet
Walmart,1185732,5/7/2020,Northeast,New York,New York,Mens Apparel,65.00 ,900,585000 ,175500 ,30,Outlet
Walmart,1185732,7/18/2020,Northeast,New York,New York,Womens Apparel,70.00 ,"1,000",700000 ,175000 ,25,Outlet
Sports Direct,1197831,7/19/2020,Northeast,New York,New York,Mens Street Footwear,25.00 ,900,225000 ,78750 ,35,Outlet
Sports Direct,1197831,7/20/2020,Northeast,New York,New York,Mens Athletic Footwear,35.00 ,900,315000 ,110250 ,35,Outlet
Sports Direct,1197831,7/21/2020,Northeast,New York,New York,Womens Street Footwear,35.00 ,700,245000 ,85750 ,35,Outlet
Sports Direct,1197831,7/22/2020,Northeast,New York,New York,Womens Athletic Footwear,35.00 ,700,245000 ,110250 ,45,Outlet
Sports Direct,1197831,7/23/2020,South,Texas,Houston,Mens Apparel,40.00 ,550,220000 ,66000 ,30,Outlet
Sports Direct,1197831,7/24/2020,South,Texas,Houston,Womens Apparel,35.00 ,700,245000 ,122500 ,50,Outlet
Sports Direct,1197831,7/25/2020,South,Texas,Houston,Mens Street Footwear,25.00 ,850,212500 ,74375 ,35,Outlet
Sports Direct,1197831,7/26/2020,South,Texas,Houston,Mens Athletic Footwear,35.00 ,850,297500 ,104125 ,35,Outlet
Sports Direct,1197831,7/27/2020,South,Texas,Houston,Womens Street Footwear,35.00 ,675,236250 ,82688 ,35,Outlet
Sports Direct,1197831,7/28/2020,South,Texas,Houston,Womens Athletic Footwear,35.00 ,625,218750 ,98438 ,45,Outlet
Sports Direct,1197831,7/29/2020,South,Texas,Houston,Mens Apparel,40.00 ,500,200000 ,60000 ,30,Outlet
Sports Direct,1197831,7/30/2020,South,Texas,Houston,Womens Apparel,35.00 ,700,245000 ,122500 ,50,Outlet
Sports Direct,1197831,7/31/2020,South,Texas,Houston,Mens Street Footwear,30.00 ,875,262500 ,91875 ,35,Outlet
Sports Direct,1197831,8/1/2020,South,Texas,Houston,Mens Athletic Footwear,40.00 ,875,350000 ,122500 ,35,Outlet
Sports Direct,1197831,8/2/2020,South,Texas,Houston,Womens Street Footwear,35.00 ,700,245000 ,85750 ,35,Outlet
Sports Direct,1197831,8/3/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,600,240000 ,108000 ,45,Outlet
Sports Direct,1197831,8/4/2020,South,Texas,Houston,Mens Apparel,45.00 ,500,225000 ,67500 ,30,Outlet
Sports Direct,1197831,8/5/2020,South,Texas,Houston,Womens Apparel,40.00 ,650,260000 ,130000 ,50,Outlet
Sports Direct,1197831,8/6/2020,South,Texas,Houston,Mens Street Footwear,30.00 ,900,270000 ,94500 ,35,Outlet
Sports Direct,1197831,8/7/2020,South,Texas,Houston,Mens Athletic Footwear,40.00 ,900,360000 ,126000 ,35,Outlet
Sports Direct,1197831,8/8/2020,South,Texas,Houston,Womens Street Footwear,35.00 ,725,253750 ,88813 ,35,Outlet
Sports Direct,1197831,8/9/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,625,250000 ,112500 ,45,Outlet
Walmart,1197831,8/10/2020,South,Texas,Houston,Mens Apparel,45.00 ,525,236250 ,70875 ,30,Outlet
Walmart,1197831,8/11/2020,South,Texas,Houston,Womens Apparel,40.00 ,800,320000 ,160000 ,50,Outlet
Walmart,1197831,8/12/2020,South,Texas,Houston,Mens Street Footwear,30.00 ,925,277500 ,97125 ,35,Outlet
Walmart,1197831,8/13/2020,South,Texas,Houston,Mens Athletic Footwear,40.00 ,925,370000 ,129500 ,35,Outlet
Walmart,1197831,8/14/2020,South,Texas,Houston,Womens Street Footwear,35.00 ,775,271250 ,94938 ,35,Outlet
Walmart,1197831,8/15/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,700,280000 ,126000 ,45,Outlet
Walmart,1197831,8/16/2020,South,Texas,Houston,Mens Apparel,45.00 ,600,270000 ,81000 ,30,Outlet
Walmart,1197831,8/17/2020,South,Texas,Houston,Womens Apparel,40.00 ,950,380000 ,190000 ,50,Outlet
Walmart,1197831,8/18/2020,South,Texas,Houston,Mens Street Footwear,40.00 ,950,380000 ,133000 ,35,Outlet
Walmart,1197831,8/19/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,950,427500 ,149625 ,35,Outlet
Walmart,1197831,8/20/2020,South,Texas,Houston,Womens Street Footwear,40.00 ,800,320000 ,112000 ,35,Outlet
Walmart,1197831,8/21/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,750,300000 ,135000 ,45,Outlet
Walmart,1197831,8/22/2020,South,Texas,Houston,Mens Apparel,45.00 ,650,292500 ,87750 ,30,Outlet
Walmart,1197831,8/23/2020,South,Texas,Houston,Womens Apparel,50.00 ,"1,000",500000 ,250000 ,50,Outlet
Walmart,1197831,8/24/2020,South,Texas,Houston,Mens Street Footwear,40.00 ,950,380000 ,133000 ,35,Outlet
Walmart,1197831,8/25/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,950,427500 ,149625 ,35,Outlet
Walmart,1197831,8/26/2020,South,Texas,Houston,Womens Street Footwear,40.00 ,"1,100",440000 ,154000 ,35,Outlet
Walmart,1197831,8/27/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,700,280000 ,126000 ,45,Outlet
Walmart,1197831,8/28/2020,South,Texas,Houston,Mens Apparel,45.00 ,700,315000 ,94500 ,30,Outlet
Walmart,1197831,8/29/2020,South,Texas,Houston,Womens Apparel,50.00 ,975,487500 ,243750 ,50,Outlet
Walmart,1197831,8/30/2020,South,Texas,Houston,Mens Street Footwear,40.00 ,925,370000 ,129500 ,35,Outlet
Walmart,1197831,8/31/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,925,416250 ,145688 ,35,Outlet
Walmart,1197831,9/1/2020,South,Texas,Houston,Womens Street Footwear,40.00 ,"1,100",440000 ,154000 ,35,Outlet
Walmart,1197831,9/2/2020,South,Texas,Houston,Womens Athletic Footwear,40.00 ,650,260000 ,117000 ,45,Outlet
Walmart,1197831,9/3/2020,South,Texas,Houston,Mens Apparel,45.00 ,650,292500 ,87750 ,30,Outlet
Walmart,1197831,9/4/2020,South,Texas,Houston,Womens Apparel,50.00 ,900,450000 ,225000 ,50,Outlet
Walmart,1197831,9/5/2020,South,Texas,Houston,Mens Street Footwear,45.00 ,850,382500 ,133875 ,35,Outlet
Walmart,1197831,9/6/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,850,382500 ,133875 ,35,Outlet
Walmart,1197831,9/7/2020,South,Texas,Houston,Womens Street Footwear,50.00 ,900,450000 ,157500 ,35,Outlet
Walmart,1197831,9/8/2020,South,Texas,Houston,Womens Athletic Footwear,50.00 ,625,312500 ,140625 ,45,Outlet
Walmart,1197831,9/9/2020,South,Texas,Houston,Mens Apparel,45.00 ,625,281250 ,84375 ,30,Outlet
Walmart,1197831,9/10/2020,South,Texas,Houston,Womens Apparel,55.00 ,850,467500 ,233750 ,50,Outlet
Walmart,1197831,9/11/2020,South,Texas,Houston,Mens Street Footwear,45.00 ,800,360000 ,126000 ,35,Outlet
Walmart,1197831,9/12/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,800,360000 ,126000 ,35,Outlet
Walmart,1197831,9/13/2020,South,Texas,Houston,Womens Street Footwear,50.00 ,750,375000 ,131250 ,35,Outlet
Walmart,1197831,9/14/2020,South,Texas,Houston,Womens Athletic Footwear,50.00 ,600,300000 ,135000 ,45,Outlet
Walmart,1197831,9/15/2020,South,Texas,Houston,Mens Apparel,45.00 ,575,258750 ,77625 ,30,Outlet
Walmart,1197831,9/16/2020,South,Texas,Houston,Womens Apparel,55.00 ,750,412500 ,206250 ,50,Outlet
Walmart,1197831,10/20/2020,South,Texas,Houston,Mens Street Footwear,45.00 ,900,405000 ,141750 ,35,Outlet
Walmart,1197831,10/21/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,900,405000 ,141750 ,35,Outlet
Walmart,1197831,10/22/2020,South,Texas,Houston,Womens Street Footwear,50.00 ,825,412500 ,144375 ,35,Outlet
Walmart,1197831,10/23/2020,South,Texas,Houston,Womens Athletic Footwear,50.00 ,675,337500 ,151875 ,45,Outlet
Walmart,1197831,10/24/2020,South,Texas,Houston,Mens Apparel,45.00 ,650,292500 ,87750 ,30,Outlet
Walmart,1197831,10/25/2020,South,Texas,Houston,Womens Apparel,55.00 ,850,467500 ,233750 ,50,Outlet
Walmart,1197831,10/26/2020,South,Texas,Houston,Mens Street Footwear,45.00 ,950,427500 ,149625 ,35,Outlet
Walmart,1197831,10/27/2020,South,Texas,Houston,Mens Athletic Footwear,45.00 ,950,427500 ,149625 ,35,Outlet
Walmart,1197831,10/28/2020,South,Texas,Houston,Womens Street Footwear,50.00 ,850,425000 ,148750 ,35,Outlet
Walmart,1197831,10/29/2020,South,Texas,Houston,Womens Athletic Footwear,50.00 ,700,350000 ,157500 ,45,Outlet
Walmart,1197831,10/30/2020,South,Texas,Houston,Mens Apparel,45.00 ,650,292500 ,87750 ,30,Outlet
Walmart,1197831,10/31/2020,South,Texas,Houston,Womens Apparel,55.00 ,900,495000 ,247500 ,50,Outlet
West Gear,1128299,11/1/2020,South,Texas,Houston,Mens Street Footwear,40.00 ,775,310000 ,108500 ,35,Outlet
West Gear,1128299,11/2/2020,South,Texas,Houston,Mens Athletic Footwear,50.00 ,775,387500 ,77500 ,20,Outlet
West Gear,1128299,11/3/2020,South,Texas,Houston,Womens Street Footwear,50.00 ,775,387500 ,135625 ,35,Outlet
West Gear,1128299,11/4/2020,South,Texas,Houston,Womens Athletic Footwear,50.00 ,625,312500 ,93750 ,30,Outlet
West Gear,1128299,11/5/2020,West,California,San Francisco,Mens Apparel,55.00 ,575,316250 ,158125 ,50,Outlet
West Gear,1128299,11/6/2020,West,California,San Francisco,Womens Apparel,50.00 ,775,387500 ,58125 ,15,Outlet
West Gear,1128299,11/7/2020,West,California,San Francisco,Mens Street Footwear,40.00 ,825,330000 ,115500 ,35,Outlet
West Gear,1128299,11/8/2020,West,California,San Francisco,Mens Athletic Footwear,50.00 ,725,362500 ,72500 ,20,Outlet
West Gear,1128299,11/9/2020,West,California,San Francisco,Womens Street Footwear,50.00 ,725,362500 ,126875 ,35,Outlet
West Gear,1128299,11/10/2020,West,California,San Francisco,Womens Athletic Footwear,50.00 ,575,287500 ,86250 ,30,Outlet
West Gear,1128299,11/11/2020,West,California,San Francisco,Mens Apparel,55.00 ,500,275000 ,137500 ,50,Outlet
West Gear,1128299,11/12/2020,West,California,San Francisco,Womens Apparel,50.00 ,700,350000 ,52500 ,15,Outlet
West Gear,1128299,11/13/2020,West,California,San Francisco,Mens Street Footwear,50.00 ,850,425000 ,148750 ,35,Outlet
West Gear,1128299,11/14/2020,West,California,San Francisco,Mens Athletic Footwear,60.00 ,700,420000 ,84000 ,20,Outlet
West Gear,1128299,11/15/2020,West,California,San Francisco,Womens Street Footwear,60.00 ,700,420000 ,147000 ,35,Outlet
West Gear,1128299,12/22/2020,West,California,San Francisco,Womens Athletic Footwear,60.00 ,600,360000 ,108000 ,30,Outlet
West Gear,1128299,12/23/2020,West,California,San Francisco,Mens Apparel,65.00 ,500,325000 ,162500 ,50,Outlet
West Gear,1128299,12/24/2020,West,California,San Francisco,Womens Apparel,60.00 ,700,420000 ,63000 ,15,Outlet
West Gear,1128299,12/25/2020,West,California,San Francisco,Mens Street Footwear,60.00 ,875,525000 ,183750 ,35,Outlet
West Gear,1128299,12/26/2020,West,California,San Francisco,Mens Athletic Footwear,65.00 ,675,438750 ,87750 ,20,Outlet
West Gear,1128299,12/27/2020,West,California,San Francisco,Womens Street Footwear,65.00 ,725,471250 ,164938 ,35,Outlet
West Gear,1128299,12/28/2020,West,California,San Francisco,Womens Athletic Footwear,60.00 ,625,375000 ,112500 ,30,Outlet
West Gear,1128299,12/29/2020,West,California,San Francisco,Mens Apparel,65.00 ,525,341250 ,170625 ,50,Outlet
West Gear,1128299,12/30/2020,West,California,San Francisco,Womens Apparel,80.00 ,700,560000 ,84000 ,15,Outlet
West Gear,1128299,12/31/2020,West,California,San Francisco,Mens Street Footwear,60.00 ,900,540000 ,216000 ,40,Outlet
West Gear,1128299,1/1/2021,West,California,San Francisco,Mens Athletic Footwear,65.00 ,750,487500 ,121875 ,25,Outlet
West Gear,1128299,1/2/2021,West,California,San Francisco,Womens Street Footwear,65.00 ,750,487500 ,195000 ,40,Outlet
West Gear,1128299,1/3/2021,West,California,San Francisco,Womens Athletic Footwear,60.00 ,650,390000 ,136500 ,35,Outlet
West Gear,1128299,1/4/2021,West,California,San Francisco,Mens Apparel,65.00 ,550,357500 ,196625 ,55,Outlet
West Gear,1128299,1/5/2021,West,California,San Francisco,Womens Apparel,80.00 ,725,580000 ,116000 ,20,Outlet
West Gear,1128299,1/6/2021,West,California,San Francisco,Mens Street Footwear,60.00 ,975,585000 ,234000 ,40,Outlet
West Gear,1128299,1/7/2021,West,California,San Francisco,Mens Athletic Footwear,65.00 ,825,536250 ,134063 ,25,Outlet
West Gear,1128299,1/8/2021,West,California,San Francisco,Womens Street Footwear,65.00 ,825,536250 ,214500 ,40,Outlet
West Gear,1128299,1/9/2021,West,California,San Francisco,Womens Athletic Footwear,60.00 ,700,420000 ,147000 ,35,Outlet
West Gear,1128299,1/10/2021,West,California,San Francisco,Mens Apparel,65.00 ,575,373750 ,205563 ,55,Outlet
West Gear,1128299,1/11/2021,West,California,San Francisco,Womens Apparel,80.00 ,875,700000 ,140000 ,20,Outlet
West Gear,1128299,1/12/2021,West,California,San Francisco,Mens Street Footwear,60.00 ,"1,025",615000 ,215250 ,35,Outlet
West Gear,1128299,1/13/2021,West,California,San Francisco,Mens Athletic Footwear,65.00 ,875,568750 ,113750 ,20,Outlet
West Gear,1128299,1/14/2021,West,California,San Francisco,Womens Street Footwear,65.00 ,825,536250 ,187688 ,35,Outlet
West Gear,1128299,1/15/2021,West,California,San Francisco,Womens Athletic Footwear,60.00 ,725,435000 ,130500 ,30,Outlet
West Gear,1128299,1/16/2021,West,California,San Francisco,Mens Apparel,65.00 ,775,503750 ,251875 ,50,Outlet
West Gear,1128299,1/17/2021,West,California,San Francisco,Womens Apparel,80.00 ,775,620000 ,93000 ,15,Outlet
West Gear,1128299,1/18/2021,West,California,San Francisco,Mens Street Footwear,65.00 ,975,633750 ,221813 ,35,Outlet
West Gear,1128299,1/19/2021,West,California,San Francisco,Mens Athletic Footwear,70.00 ,925,647500 ,129500 ,20,Outlet
West Gear,1128299,1/20/2021,West,California,San Francisco,Womens Street Footwear,65.00 ,800,520000 ,182000 ,35,Outlet
West Gear,1128299,1/21/2021,West,California,San Francisco,Womens Athletic Footwear,65.00 ,750,487500 ,146250 ,30,Outlet
West Gear,1128299,1/22/2021,West,California,San Francisco,Mens Apparel,75.00 ,750,562500 ,281250 ,50,Outlet
West Gear,1128299,1/23/2021,West,California,San Francisco,Womens Apparel,80.00 ,725,580000 ,87000 ,15,Outlet
West Gear,1128299,1/24/2021,West,California,San Francisco,Mens Street Footwear,55.00 ,925,508750 ,152625 ,30,Outlet
West Gear,1128299,1/25/2021,West,California,San Francisco,Mens Athletic Footwear,60.00 ,925,555000 ,83250 ,15,Outlet
West Gear,1128299,1/26/2021,West,California,San Francisco,Womens Street Footwear,55.00 ,775,426250 ,127875 ,30,Outlet
West Gear,1128299,1/27/2021,West,California,San Francisco,Womens Athletic Footwear,55.00 ,725,398750 ,99688 ,25,Outlet
West Gear,1128299,1/28/2021,West,California,San Francisco,Mens Apparel,65.00 ,725,471250 ,212063 ,45,Outlet
West Gear,1128299,1/29/2021,West,California,San Francisco,Womens Apparel,70.00 ,775,542500 ,54250 ,10,Outlet
West Gear,1128299,1/30/2021,West,California,San Francisco,Mens Street Footwear,55.00 ,875,481250 ,144375 ,30,Outlet
West Gear,1128299,1/31/2021,West,California,San Francisco,Mens Athletic Footwear,60.00 ,875,525000 ,78750 ,15,Outlet
West Gear,1128299,2/1/2021,West,California,San Francisco,Womens Street Footwear,55.00 ,700,385000 ,115500 ,30,Outlet
West Gear,1128299,2/2/2021,West,California,San Francisco,Womens Athletic Footwear,55.00 ,675,371250 ,92813 ,25,Outlet
West Gear,1128299,2/3/2021,West,California,San Francisco,Mens Apparel,65.00 ,650,422500 ,190125 ,45,Outlet
West Gear,1128299,2/4/2021,West,California,San Francisco,Womens Apparel,70.00 ,700,490000 ,49000 ,10,Outlet
West Gear,1128299,2/5/2021,West,California,San Francisco,Mens Street Footwear,55.00 ,875,481250 ,144375 ,30,Outlet
West Gear,1128299,2/6/2021,West,California,San Francisco,Mens Athletic Footwear,60.00 ,875,525000 ,78750 ,15,Outlet
West Gear,1128299,2/7/2021,West,California,San Francisco,Womens Street Footwear,55.00 ,725,398750 ,119625 ,30,Outlet
West Gear,1128299,2/8/2021,West,California,San Francisco,Womens Athletic Footwear,55.00 ,700,385000 ,96250 ,25,Outlet
West Gear,1128299,2/9/2021,West,California,San Francisco,Mens Apparel,65.00 ,650,422500 ,190125 ,45,Outlet
West Gear,1128299,2/10/2021,West,California,San Francisco,Womens Apparel,70.00 ,775,542500 ,54250 ,10,Outlet
West Gear,1128299,2/11/2021,West,California,San Francisco,Mens Street Footwear,55.00 ,975,536250 ,160875 ,30,Outlet
West Gear,1128299,2/12/2021,West,California,San Francisco,Mens Athletic Footwear,60.00 ,975,585000 ,87750 ,15,Outlet
West Gear,1128299,2/13/2021,West,California,San Francisco,Womens Street Footwear,55.00 ,775,426250 ,127875 ,30,Outlet
West Gear,1128299,2/14/2021,West,California,San Francisco,Womens Athletic Footwear,55.00 ,775,426250 ,106563 ,25,Outlet
West Gear,1128299,2/15/2021,West,California,San Francisco,Mens Apparel,65.00 ,700,455000 ,204750 ,45,Outlet
West Gear,1128299,2/16/2021,West,California,San Francisco,Womens Apparel,70.00 ,800,560000 ,56000 ,10,Outlet
Kohls,1189833,2/17/2021,West,California,San Francisco,Mens Street Footwear,35.00 ,700,245000 ,98000 ,40,Outlet
Kohls,1189833,2/18/2021,West,California,San Francisco,Mens Athletic Footwear,45.00 ,700,315000 ,78750 ,25,Outlet
Kohls,1189833,3/9/2021,West,California,San Francisco,Womens Street Footwear,45.00 ,700,315000 ,126000 ,40,Outlet
Kohls,1189833,3/10/2021,West,California,San Francisco,Womens Athletic Footwear,45.00 ,550,247500 ,86625 ,35,Outlet
Kohls,1189833,3/11/2021,West,California,Los Angeles,Mens Apparel,50.00 ,500,250000 ,137500 ,55,Outlet
Kohls,1189833,3/12/2021,West,California,Los Angeles,Womens Apparel,45.00 ,700,315000 ,63000 ,20,Outlet
Kohls,1189833,3/13/2021,West,California,Los Angeles,Mens Street Footwear,35.00 ,750,262500 ,105000 ,40,Outlet
Kohls,1189833,3/14/2021,West,California,Los Angeles,Mens Athletic Footwear,45.00 ,650,292500 ,73125 ,25,Outlet
Kohls,1189833,3/15/2021,West,California,Los Angeles,Womens Street Footwear,45.00 ,675,303750 ,121500 ,40,Outlet
Kohls,1189833,3/16/2021,West,California,Los Angeles,Womens Athletic Footwear,45.00 ,525,236250 ,82688 ,35,Outlet
